Date.Day,Date.Month,Date.Year,Data.Cases,Data.Deaths,Location.Country,Location.Code,,Location.Country,Death
3,1,2020,0,0,Singapore,SGP,,,
3,1,2020,0,0,South_Korea,KOR,,,
3,1,2020,0,0,Spain,ESP,,,
3,1,2020,0,0,Sri_Lanka,LKA,,,
3,1,2020,0,0,Sweden,SWE,,,
3,1,2020,0,0,Switzerland,CHE,,,
3,1,2020,0,0,Taiwan,CNG1925,,,
3,1,2020,0,0,Thailand,THA,,,
3,1,2020,0,0,United_Arab_Emirates,ARE,,,
3,1,2020,0,0,United_Kingdom,GBR,,,
3,1,2020,0,0,United_States_of_America,USA,,,
3,1,2020,0,0,Vietnam,VNM,,,
4,1,2020,0,0,Afghanistan,AFG,,,
4,1,2020,0,0,Algeria,DZA,,,
4,1,2020,0,0,Armenia,ARM,,,
4,1,2020,0,0,Australia,AUS,,,
4,1,2020,0,0,Austria,AUT,,,
4,1,2020,0,0,Azerbaijan,AZE,,,
4,1,2020,0,0,Bahrain,BHR,,,
4,1,2020,0,0,Belarus,BLR,,,
4,1,2020,0,0,Belgium,BEL,,,
4,1,2020,0,0,Brazil,BRA,,,
4,1,2020,0,0,Cambodia,KHM,,,
4,1,2020,0,0,Canada,CAN,,,
4,1,2020,0,0,Cases_on_an_international_conveyance_Japan,,,,
4,1,2020,0,0,China,CHN,,,
4,1,2020,0,0,Croatia,HRV,,,
4,1,2020,0,0,Czechia,CZE,,,
4,1,2020,0,0,Denmark,DNK,,,
4,1,2020,0,0,Dominican_Republic,DOM,,,
4,1,2020,0,0,Ecuador,ECU,,,
4,1,2020,0,0,Egypt,EGY,,,
4,1,2020,0,0,Estonia,EST,,,
4,1,2020,0,0,Finland,FIN,,,
4,1,2020,0,0,France,FRA,,,
4,1,2020,0,0,Georgia,GEO,,,
4,1,2020,0,0,Germany,DEU,,,
4,1,2020,0,0,Greece,GRC,,,
4,1,2020,0,0,Iceland,ISL,,,
4,1,2020,0,0,India,IND,,,
4,1,2020,0,0,Indonesia,IDN,,,
4,1,2020,0,0,Iran,IRN,,,
4,1,2020,0,0,Iraq,IRQ,,,
4,1,2020,0,0,Ireland,IRL,,,
4,1,2020,0,0,Israel,ISR,,,
4,1,2020,0,0,Italy,ITA,,,
4,1,2020,0,0,Japan,JPN,,,
4,1,2020,0,0,Kuwait,KWT,,,
4,1,2020,0,0,Lebanon,LBN,,,
4,1,2020,0,0,Lithuania,LTU,,,
4,1,2020,0,0,Luxembourg,LUX,,,
4,1,2020,0,0,Malaysia,MYS,,,
4,1,2020,0,0,Mexico,MEX,,,
4,1,2020,0,0,Monaco,MCO,,,
4,1,2020,0,0,Nepal,NPL,,,
4,1,2020,0,0,Netherlands,NLD,,,
4,1,2020,0,0,New_Zealand,NZL,,,
4,1,2020,0,0,Nigeria,NGA,,,
4,1,2020,0,0,North_Macedonia,MKD,,,
4,1,2020,0,0,Norway,NOR,,,
4,1,2020,0,0,Oman,OMN,,,
4,1,2020,0,0,Pakistan,PAK,,,
4,1,2020,0,0,Philippines,PHL,,,
4,1,2020,0,0,Qatar,QAT,,,
4,1,2020,0,0,Romania,ROU,,,
4,1,2020,0,0,Russia,RUS,,,
4,1,2020,0,0,San_Marino,SMR,,,
4,1,2020,0,0,Singapore,SGP,,,
4,1,2020,0,0,South_Korea,KOR,,,
4,1,2020,0,0,Spain,ESP,,,
4,1,2020,0,0,Sri_Lanka,LKA,,,
4,1,2020,0,0,Sweden,SWE,,,
4,1,2020,0,0,Switzerland,CHE,,,
4,1,2020,0,0,Taiwan,CNG1925,,,
4,1,2020,0,0,Thailand,THA,,,
4,1,2020,0,0,United_Arab_Emirates,ARE,,,
4,1,2020,0,0,United_Kingdom,GBR,,,
4,1,2020,0,0,United_States_of_America,USA,,,
4,1,2020,0,0,Vietnam,VNM,,,
5,1,2020,0,0,Afghanistan,AFG,,,
5,1,2020,0,0,Algeria,DZA,,,
5,1,2020,0,0,Armenia,ARM,,,
5,1,2020,0,0,Australia,AUS,,,
5,1,2020,0,0,Austria,AUT,,,
5,1,2020,0,0,Azerbaijan,AZE,,,
5,1,2020,0,0,Bahrain,BHR,,,
5,1,2020,0,0,Belarus,BLR,,,
5,1,2020,0,0,Belgium,BEL,,,
5,1,2020,0,0,Brazil,BRA,,,
5,1,2020,0,0,Cambodia,KHM,,,
5,1,2020,0,0,Canada,CAN,,,
5,1,2020,0,0,Cases_on_an_international_conveyance_Japan,,,,
5,1,2020,15,0,China,CHN,,,
5,1,2020,0,0,Croatia,HRV,,,
5,1,2020,0,0,Czechia,CZE,,,
5,1,2020,0,0,Denmark,DNK,,,
5,1,2020,0,0,Dominican_Republic,DOM,,,
5,1,2020,0,0,Ecuador,ECU,,,
5,1,2020,0,0,Egypt,EGY,,,
5,1,2020,0,0,Estonia,EST,,,
5,1,2020,0,0,Finland,FIN,,,
5,1,2020,0,0,France,FRA,,,
5,1,2020,0,0,Georgia,GEO,,,
5,1,2020,0,0,Germany,DEU,,,
5,1,2020,0,0,Greece,GRC,,,
5,1,2020,0,0,Iceland,ISL,,,
5,1,2020,0,0,India,IND,,,
5,1,2020,0,0,Indonesia,IDN,,,
5,1,2020,0,0,Iran,IRN,,,
5,1,2020,0,0,Iraq,IRQ,,,
5,1,2020,0,0,Ireland,IRL,,,
5,1,2020,0,0,Israel,ISR,,,
5,1,2020,0,0,Italy,ITA,,,
5,1,2020,0,0,Japan,JPN,,,
5,1,2020,0,0,Kuwait,KWT,,,
5,1,2020,0,0,Lebanon,LBN,,,
5,1,2020,0,0,Lithuania,LTU,,,
5,1,2020,0,0,Luxembourg,LUX,,,
5,1,2020,0,0,Malaysia,MYS,,,
5,1,2020,0,0,Monaco,MCO,,,
5,1,2020,0,0,Nepal,NPL,,,
5,1,2020,0,0,Netherlands,NLD,,,
5,1,2020,0,0,New_Zealand,NZL,,,
5,1,2020,0,0,Nigeria,NGA,,,
5,1,2020,0,0,North_Macedonia,MKD,,,
5,1,2020,0,0,Norway,NOR,,,
5,1,2020,0,0,Oman,OMN,,,
5,1,2020,0,0,Pakistan,PAK,,,
5,1,2020,0,0,Philippines,PHL,,,
5,1,2020,0,0,Qatar,QAT,,,
5,1,2020,0,0,Romania,ROU,,,
5,1,2020,0,0,Russia,RUS,,,
5,1,2020,0,0,San_Marino,SMR,,,
5,1,2020,0,0,Singapore,SGP,,,
5,1,2020,0,0,South_Korea,KOR,,,
5,1,2020,0,0,Spain,ESP,,,
5,1,2020,0,0,Sri_Lanka,LKA,,,
5,1,2020,0,0,Sweden,SWE,,,
5,1,2020,0,0,Switzerland,CHE,,,
5,1,2020,0,0,Taiwan,CNG1925,,,
5,1,2020,0,0,Thailand,THA,,,
5,1,2020,0,0,United_Arab_Emirates,ARE,,,
5,1,2020,0,0,United_Kingdom,GBR,,,
5,1,2020,0,0,United_States_of_America,USA,,,
5,1,2020,0,0,Vietnam,VNM,,,
6,1,2020,0,0,Afghanistan,AFG,,,
6,1,2020,0,0,Algeria,DZA,,,
6,1,2020,0,0,Armenia,ARM,,,
6,1,2020,0,0,Australia,AUS,,,
6,1,2020,0,0,Austria,AUT,,,
6,1,2020,0,0,Azerbaijan,AZE,,,
6,1,2020,0,0,Bahrain,BHR,,,
6,1,2020,0,0,Belarus,BLR,,,
6,1,2020,0,0,Belgium,BEL,,,
6,1,2020,0,0,Brazil,BRA,,,
6,1,2020,0,0,Cambodia,KHM,,,
6,1,2020,0,0,Canada,CAN,,,
6,1,2020,0,0,Cases_on_an_international_conveyance_Japan,,,,
6,1,2020,0,0,China,CHN,,,
6,1,2020,0,0,Croatia,HRV,,,
6,1,2020,0,0,Czechia,CZE,,,
6,1,2020,0,0,Denmark,DNK,,,
6,1,2020,0,0,Dominican_Republic,DOM,,,
6,1,2020,0,0,Ecuador,ECU,,,
6,1,2020,0,0,Egypt,EGY,,,
6,1,2020,0,0,Estonia,EST,,,
6,1,2020,0,0,Finland,FIN,,,
6,1,2020,0,0,France,FRA,,,
6,1,2020,0,0,Georgia,GEO,,,
6,1,2020,0,0,Germany,DEU,,,
6,1,2020,0,0,Greece,GRC,,,
6,1,2020,0,0,Iceland,ISL,,,
6,1,2020,0,0,India,IND,,,
6,1,2020,0,0,Indonesia,IDN,,,
6,1,2020,0,0,Iran,IRN,,,
6,1,2020,0,0,Iraq,IRQ,,,
6,1,2020,0,0,Ireland,IRL,,,
6,1,2020,0,0,Israel,ISR,,,
6,1,2020,0,0,Italy,ITA,,,
6,1,2020,0,0,Japan,JPN,,,
6,1,2020,0,0,Kuwait,KWT,,,
6,1,2020,0,0,Lebanon,LBN,,,
6,1,2020,0,0,Lithuania,LTU,,,
6,1,2020,0,0,Luxembourg,LUX,,,
6,1,2020,0,0,Malaysia,MYS,,,
6,1,2020,0,0,Monaco,MCO,,,
6,1,2020,0,0,Nepal,NPL,,,
6,1,2020,0,0,Netherlands,NLD,,,
6,1,2020,0,0,New_Zealand,NZL,,,
6,1,2020,0,0,Nigeria,NGA,,,
6,1,2020,0,0,North_Macedonia,MKD,,,
6,1,2020,0,0,Norway,NOR,,,
6,1,2020,0,0,Oman,OMN,,,
6,1,2020,0,0,Pakistan,PAK,,,
6,1,2020,0,0,Philippines,PHL,,,
6,1,2020,0,0,Qatar,QAT,,,
6,1,2020,0,0,Romania,ROU,,,
6,1,2020,0,0,Russia,RUS,,,
6,1,2020,0,0,San_Marino,SMR,,,
6,1,2020,0,0,Singapore,SGP,,,
6,1,2020,0,0,South_Korea,KOR,,,
6,1,2020,0,0,Spain,ESP,,,
6,1,2020,0,0,Sri_Lanka,LKA,,,
6,1,2020,0,0,Sweden,SWE,,,
6,1,2020,0,0,Switzerland,CHE,,,
6,1,2020,0,0,Taiwan,CNG1925,,,
6,1,2020,0,0,Thailand,THA,,,
6,1,2020,0,0,United_Arab_Emirates,ARE,,,
6,1,2020,0,0,United_Kingdom,GBR,,,
6,1,2020,0,0,United_States_of_America,USA,,,
6,1,2020,0,0,Vietnam,VNM,,,
7,1,2020,0,0,Afghanistan,AFG,,,
7,1,2020,0,0,Algeria,DZA,,,
7,1,2020,0,0,Armenia,ARM,,,
7,1,2020,0,0,Australia,AUS,,,
7,1,2020,0,0,Austria,AUT,,,
7,1,2020,0,0,Azerbaijan,AZE,,,
7,1,2020,0,0,Bahrain,BHR,,,
7,1,2020,0,0,Belarus,BLR,,,
7,1,2020,0,0,Belgium,BEL,,,
7,1,2020,0,0,Brazil,BRA,,,
7,1,2020,0,0,Cambodia,KHM,,,
7,1,2020,0,0,Canada,CAN,,,
7,1,2020,0,0,Cases_on_an_international_conveyance_Japan,,,,
7,1,2020,0,0,China,CHN,,,
7,1,2020,0,0,Croatia,HRV,,,
7,1,2020,0,0,Czechia,CZE,,,
7,1,2020,0,0,Denmark,DNK,,,
7,1,2020,0,0,Dominican_Republic,DOM,,,
7,1,2020,0,0,Ecuador,ECU,,,
7,1,2020,0,0,Egypt,EGY,,,
7,1,2020,0,0,Estonia,EST,,,
7,1,2020,0,0,Finland,FIN,,,
7,1,2020,0,0,France,FRA,,,
